app_name,technology,country,end_date,resolution_date,it_owner,func_area,action_plan
Sembcorp Internet Website/Corporate Website v. 1.0,".NET Framework v. 4.5, Umbraco v. 7.2, Price Feed Program (SCI) v. 1.0, Price Feed Program (SCM) v. 1.0, Internet Information Services v. 8.0, Microsoft Server v. 2012, Microsoft SQL Server v. 2012",Corporate,,,,,
Website Content Management System v. 1.0,"Umbarco v. 7.2, .NET Frameworkv. 4.5, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Customer Relations Management (SWM Call Centre) v. 1,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Singapore,,,,,
Creams v. 3.19.09.26,,China,,,,,
Property Management System (Mysoft) v. 3.0.7,"Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",China,,,,finance,
Salesforce v. 1,,,,,,,
Sembcorp Internet Website/Corporate Website v. 1.0,,,,,,,
Contact Management System v. 1.1,".NET Framework v. 3.5, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server Reporting Services v. 2012, Microsoft SQL Server v. 2012 ",,,,,,
Customer Utility Billing & Experience Management v. 1.0,,,,,,billing,
Customer Management System v. 7.5,".NET Framework v. 3.5, Crystal Reports v. 6.0, Microsoft Server v. 2008 R2, Revenue Manager v. 7.5, Usage Conversion System v. 1.0, Microsoft SQL Server v. 2008 R2",Singapore,"7/12/2011,  05/03/2002, 14/01/2020, 29/12/2017, 31/12/2017",,Kuan Choon Cheit ,billing,"Most of the programs and the web application are dependent on the Revenue Manager application and its API which are running in the .NET 3.5 Framework. 
 
Modernization of these applications are currently in-progress, pending recommendations by an external system architect, and a subsequent server upgrade. "
NTUC,,,,,,,
IBMS (Integrated Billing Management System) v. 1,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Singapore,,,,billing,
MIS 2.0  v. 2.0,Microsoft Server v. 2008 R2,China,14/1/2020,Q1 2020,Dong George,billing, FZ has a plan to upgrade SQL server to 2014 while replacement of MIS 2.0 server in 2020 Q1  
MIS 3.0  (Pufeite) v. 3.0,"Microsoft Server v. 2008 R2, Oracle Database v. 10.2.0.1",China,"14/1/2020, 22/2/2009",20-Sep,Dong George,billing," SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
  SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
  SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
  SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
  SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
  SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. 
 SSW has made a budget to replace it billing system (Pufeite) in 2020.  Oracle 10.2.0.1 and Windows Server will retire once the new system go live. "
"Nomination, Allocation Billing System v. 1",".NET Framework v. 4.5, Internet Information Services v. 10.0, Microsoft SQL Server Reporting Services v. 2017, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Singapore,,,,billing,
Solar Data DB,,,,,,,
RISK v. 7.6.0,,,,,,,
Salesforce-TIRS  Intergration Webservices v. 1.0,".NET Framework v. 3.5, Microsoft Server v. 2008 R2",Singapore,"7/12/2011,14/1/2020",,Kuan Choon Cheit ,,
